Date,Open,High,Low,Close,Volume,Adj Close
9/4/2015,18312.13086,18312.13086,17608.16992,17792.16016,166000,17792.16016
9/3/2015,18359.34961,18481.57031,18176.75,18182.39063,138700,18182.39063
9/2/2015,17861.81055,18467.43945,17857.30078,18095.40039,192000,18095.40039
9/1/2015,18763.7207,18777.4707,18165.68945,18165.68945,171500,18165.68945
8/31/2015,19006.98047,19019.60938,18749.76953,18890.48047,0,18890.48047
8/28/2015,18908.73047,19192.82031,18901.08984,19136.32031,199000,19136.32031
8/27/2015,18680.4707,18810.05078,18486.46094,18574.43945,186300,18574.43945
8/26/2015,17894.28906,18442.83984,17714.30078,18376.83008,239400,18376.83008
8/25/2015,18171.66016,18835.34961,17747.5,17806.69922,325500,17806.69922
8/24/2015,19075.05078,19154.65039,18498.80078,18540.67969,266200,18540.67969
8/21/2015,19711.33984,19737.53906,19435.83008,19435.83008,184200,19435.83008
8/20/2015,20194.25977,20246.4707,20033.28906,20033.51953,143500,20033.51953
8/19/2015,20467.49023,20521.9707,20218.0293,20222.63086,141100,20222.63086
8/18/2015,20640.58984,20663.17969,20545.25,20554.4707,190700,20554.4707
8/17/2015,20600.16016,20668.86914,20541,20620.25977,103400,20620.25977
8/14/2015,20518.35938,20605.46094,20484.66992,20519.44922,135200,20519.44922
8/13/2015,20392.53906,20633.91016,20306.98047,20595.55078,162400,20595.55078
8/12/2015,20632.67969,20703.19922,20303.01953,20392.76953,165200,20392.76953
8/11/2015,20920.59961,20946.92969,20582.00977,20720.75,0,20720.75
8/10/2015,20618.31055,20820.85938,20617.05078,20808.68945,0,20808.68945
8/7/2015,20601.57031,20754,20567.50977,20724.56055,142600,20724.56055
8/6/2015,20768.76953,20817.48047,20664.43945,20664.43945,162000,20664.43945
8/5/2015,20490.15039,20715.48047,20469.86914,20614.06055,168300,20614.06055
8/4/2015,20462.17969,20552.03906,20448.49023,20520.35938,161700,20520.35938
8/3/2015,20540.21094,20562.19922,20396.5,20548.10938,168400,20548.10938
7/31/2015,20506.55078,20585.24023,20466.80078,20585.24023,170100,20585.24023
7/30/2015,20450.60938,20583.57031,20443.89063,20522.83008,176000,20522.83008
7/29/2015,20425.68945,20425.68945,20205.21094,20302.91016,0,20302.91016
7/28/2015,20188.57031,20423.58008,20070.61914,20328.89063,145300,20328.89063
7/27/2015,20374.05078,20486.92969,20278.73047,20350.09961,118900,20350.09961
7/24/2015,20603.63086,20631.53906,20527.7793,20544.5293,107400,20544.5293
7/23/2015,20693.57031,20708.23047,20648.75977,20683.94922,115500,20683.94922
7/22/2015,20657.80078,20677.83984,20576.18945,20593.66992,141000,20593.66992
7/21/2015,20763.31055,20850,20710.33984,20841.9707,130500,20841.9707
7/17/2015,20646.63086,20658.94922,20611.2207,20650.91992,114600,20650.91992
7/16/2015,20588.98047,20612.5,20522.25,20600.11914,132700,20600.11914
7/15/2015,20478.84961,20496.59961,20401.08984,20463.33008,0,20463.33008
7/14/2015,20355.33008,20435.5293,20322.19922,20385.33008,156900,20385.33008
7/13/2015,19929.91992,20120.15039,19911.39063,20089.76953,0,20089.76953
7/10/2015,19829.92969,19978.24023,19720.15039,19779.83008,0,19779.83008
7/9/2015,19422.7793,19855.5,19115.19922,19855.5,0,19855.5
7/8/2015,20282.49023,20310.89063,19737.64063,19737.64063,0,19737.64063
7/7/2015,20354.23047,20428,20337.17969,20376.58984,0,20376.58984
7/6/2015,20200.15039,20310.7207,20012.23047,20112.11914,158800,20112.11914
7/3/2015,20476.68945,20557.50977,20431.25,20539.78906,141400,20539.78906
7/2/2015,20565.93945,20601.73047,20479.84961,20522.5,0,20522.5
7/1/2015,20291.05078,20346.74023,20225.26953,20329.32031,119900,20329.32031
6/30/2015,20174.60938,20243.17969,20118.25977,20235.73047,163100,20235.73047
6/29/2015,20305.9707,20361.59961,20093.16016,20109.94922,0,20109.94922
6/26/2015,20758.42969,20785.75977,20650,20706.15039,135900,20706.15039
6/25/2015,20777.68945,20866.58008,20758.59961,20771.40039,124500,20771.40039
6/24/2015,20889.32031,20952.71094,20838.2207,20868.0293,161700,20868.0293
6/23/2015,20547.74023,20809.41992,20531.13086,20809.41992,177800,20809.41992
6/22/2015,20174.14063,20433.30078,20174.14063,20428.18945,0,20428.18945
6/19/2015,20152.41016,20194.44922,20075.91016,20174.24023,156100,20174.24023
6/18/2015,20193.58984,20200.50977,19990.55078,19990.82031,130500,19990.82031
